from,to,ridership
ST000,ST001,72
ST000,ST002,70
ST000,ST003,55
ST000,ST004,74
ST000,ST177,71
ST000,ST178,45
ST000,ST179,79
ST001,ST002,75
ST001,ST003,70
ST001,ST004,72
ST001,ST005,82
ST001,ST151,58
ST001,ST177,67
ST001,ST178,53
ST001,ST179,59
ST002,ST003,71
ST002,ST004,67
ST002,ST006,54
ST002,ST178,63
ST002,ST179,68
ST003,ST005,60
ST003,ST006,63
ST003,ST007,63
ST003,ST057,63
ST003,ST179,68
ST004,ST005,62
ST004,ST006,67
ST004,ST007,64
ST004,ST008,67
ST004,ST112,55
ST005,ST006,68
ST005,ST007,70
ST005,ST008,68
ST005,ST009,72
ST005,ST165,56
ST006,ST008,63
ST006,ST009,62
ST006,ST010,78
ST006,ST135,58
ST007,ST008,66
ST007,ST009,65
ST007,ST010,61
ST007,ST011,65
ST007,ST019,64
ST008,ST009,73
ST008,ST010,51
ST008,ST011,49
ST008,ST012,61
ST009,ST010,71
ST009,ST011,61
ST009,ST012,74
ST009,ST013,56
ST010,ST011,72
ST010,ST012,54
ST010,ST013,72
ST010,ST014,69
ST010,ST175,55
ST011,ST012,64
ST011,ST013,62
ST011,ST014,65
ST011,ST090,56
ST012,ST014,55
ST012,ST016,71
ST012,ST176,56
ST013,ST015,64
ST013,ST017,46
ST013,ST177,61
ST014,ST016,60
ST014,ST017,67
ST014,ST018,52
ST014,ST076,64
ST015,ST017,74
ST015,ST019,71
ST015,ST032,55
ST015,ST142,62
ST016,ST019,61
ST016,ST126,57
ST017,ST019,74
ST017,ST020,77
ST017,ST021,74
ST018,ST020,65
ST018,ST021,53
ST018,ST022,78
ST018,ST053,68
ST018,ST065,70
ST018,ST077,62
ST018,ST090,54
ST018,ST162,64
ST019,ST020,62
ST019,ST021,57
ST019,ST022,57
ST019,ST023,79
ST019,ST072,70
ST020,ST021,69
ST020,ST023,70
ST020,ST024,64
ST020,ST060,60
ST020,ST144,65
ST021,ST022,57
ST021,ST023,77
ST021,ST025,70
ST022,ST023,72
ST022,ST024,66
ST022,ST025,60
ST022,ST026,71
ST023,ST024,70
ST023,ST025,54
ST023,ST026,72
ST023,ST027,72
ST024,ST025,64
ST024,ST026,66
ST024,ST028,47
ST024,ST113,75
ST024,ST172,79
ST025,ST027,69
ST025,ST106,55
ST025,ST131,71
ST026,ST027,69
ST026,ST028,68
ST026,ST029,69
ST026,ST030,63
ST026,ST070,64
ST027,ST028,66
ST027,ST029,69
ST027,ST030,74
ST027,ST031,74
ST028,ST029,68
ST028,ST030,67
ST028,ST031,60
ST028,ST032,57
ST029,ST030,66
ST029,ST031,61
ST029,ST032,60
ST029,ST033,55
ST029,ST133,72
ST029,ST164,47
ST030,ST031,58
ST030,ST032,67
ST030,ST033,78
ST030,ST034,55
ST031,ST032,74
ST031,ST033,50
ST031,ST034,68
ST032,ST033,49
ST032,ST114,60
ST032,ST162,64
ST033,ST034,60
ST033,ST036,71
ST033,ST114,68
ST033,ST119,72
ST033,ST169,77
ST034,ST035,66
ST034,ST036,59
ST034,ST038,60
ST034,ST065,71
ST035,ST036,69
ST035,ST037,72
ST035,ST038,64
ST035,ST039,72
ST035,ST156,63
ST036,ST037,73
ST036,ST039,65
ST036,ST040,53
ST036,ST041,58
ST036,ST124,66
ST037,ST038,70
ST037,ST039,59
ST037,ST040,64
ST037,ST041,61
ST037,ST129,56
ST038,ST039,56
ST038,ST041,58
ST038,ST042,63
ST038,ST179,54
ST039,ST040,56
ST039,ST041,75
ST039,ST042,65
ST039,ST043,61
ST040,ST041,64
ST040,ST042,59
ST040,ST043,59
ST040,ST044,69
ST041,ST042,60
ST041,ST043,61
ST041,ST044,47
ST041,ST125,70
ST042,ST043,62
ST042,ST044,47
ST042,ST045,78
ST042,ST046,57
ST042,ST150,61
ST043,ST044,77
ST043,ST045,54
ST043,ST046,59
ST043,ST047,67
ST043,ST116,49
ST043,ST119,55
ST044,ST045,72
